MT	MT	43789243.00
AE	AZ	57528.00
AR	NH	314458.00
NM	MT	304563.00
AA	OK	100.00
LA	AR	2584231.00
AK	NC	129464.00
DC	KS	5704339.00
NY	WA	15081802.00
FL	MP	2500.00
AL	LA	1594663.00
VI	WI	22275.00
PR	MS	86000.00
AA	DC	4450.00
VA	GU	266000.00
KS	MD	524497.00
IL	PA	12830976.00
NH	MS	44575.00
PA	WI	5410075.00
OR	ME	184820.00
ND	RI	625.00
VA	OR	11748648.00
VT	NH	1741948.00
AE	WI	655.00
LA	NV	1146758.00
ID	MS	49250.00
MS	DE	202922.00
WI	IA	1128023.00
AR	MO	1673830.00
SC	FL	4497176.00
VT	PR	500.00
AE	NJ	165.00
MI	VT	2346415.00
ND	CA	142140.00
AR	HI	49892.00
UT	VT	576505.00
PA	NJ	32958109.00
MP	AZ	2250.00
NJ	FL	18079400.00
NV	VA	13362134.00
VI	AZ	75689.00
CA	NE	4780627.00
IN	KY	3813769.00
OH	VT	2040776.00
NH	CO	567415.00
VI	RI	7000.00
SC	DC	980693.00
IN	TX	2338483.00
ID	CO	209704.00
VI	CA	397789.00
PA	IN	4834049.00
IN	MA	8290416.00
ME	TN	73800.00
ME	SD	24850.00
MP	CA	13750.00
NJ	OK	493580.00
PR	AS	36400.00
KY	NC	1262084.00
ND	AZ	97703.00
SC	OK	355100.00
NJ	DC	14803845.00
NV	AR	698445.00
ZZ	MS	4800.00
AE	CA	7008.00
MO	GU	250.00
ND	NJ	34950.00
DC	GA	13846078.00
WI	DC	1721512.00
HI	OR	216020.00
AL	ID	566366.00
PA	CA	10250051.00
VI	IN	62654.00
NV	NV	145490222.00
AZ	WA	1350934.00
SD	VT	123098.00
CO	ME	543838.00
WV	ME	59400.00
HI	GU	32250.00
TN	VT	1017387.00
MO	OR	503715.00
MP	IN	104000.00
WI	OK	437900.00
KS	IL	6104521.00
GA	TN	5055992.00
GA	SD	822511.00
CT	SC	3719950.00
PA	RI	1315807.00
TX	NC	16279126.00
OK	GA	1007251.00
NE	ID	120550.00
MA	NC	4519529.00
ND	WI	385928.00
ID	AS	11500.00
LA	VA	6289450.00
AA	FL	6224.00
MN	SC	657035.00
PR	CO	413700.00
HI	CO	226772.00
WA	KS	422598.00
NY	IA	10153264.00
AK	WY	6000.00
AR	NV	357135.00
MI	ID	558610.00
UT	ID	1547887.00
VT	AR	92550.00
NC	VI	23850.00
MO	CO	1386973.00
DE	IN	130483.00
RI	KY	500660.00
ME	AL	71500.00
OH	LA	1672471.00
AP	TX	7289.00
NJ	WA	2225994.00
AP	MA	12704.00
PR	GU	18500.00
LO	AR	1000.00
PR	OR	98000.00
LA	MO	1312067.00
GA	UT	1896939.00
RI	MA	7012191.00
GA	MI	2172536.00
RI	TX	482201.00
SC	WA	506128.00
MD	GA	8768319.00
LA	HI	204927.00
WY	ME	87616.00
LA	PR	1000.00
TN	LA	1108191.00
NH	OR	235995.00
SD	LA	77650.00
CA	TX	45880999.00
AZ	DC	2391857.00
CA	MA	180081605.00
HI	AS	213788.00
VA	MS	9112309.00
WI	WA	614397.00
DE	RI	175047.00
GA	AL	4490680.00
AZ	OK	1858690.00
AR	AR	117564901.00
ID	OR	815979.00
CA	KY	18994944.00
CT	NY	46376119.00
NY	FL	63714848.00
DE	CA	1020423.00
