Poll,Date,Kerry (D),Bush (R)
CBS NewsCBS News,2/24 - 2/27,48.6,45
NewsweekNewsweek,2/19 - 2/20,47.8,45.4
FOX NewsFOX News,2/18 - 2/19,47.4,45.4
ARGARG,2/17 - 2/19,47.8,45.8
CNN/USA Today/GallupCNN/USA Today/Gallup,2/16 - 2/17,47.8,45.2
RasmussenRasmussen,2/15 - 2/17,47.2,45.2
Univ. of ConnecticutUniv. of Connecticut,2/12 - 2/16,47.6,44.8
Pew ResearchPew Research,2/11 - 2/16,48,45.6
CBS NewsCBS News,2/12 - 2/15,48.2,46.2
ABC News/Wash PostABC News/Wash Post,2/10 - 2/11,48.6,46.6
RasmussenRasmussen,2/8 - 2/10,46.8,47.4
CNN/USA Today/GallupCNN/USA Today/Gallup,2/6 - 2/8,48.4,47.4
TimeTime,2/5 - 2/6,48,46.2
NewsweekNewsweek,2/5 - 2/6,48.6,44.8
FOX NewsFOX News,2/4 - 2/5,48.25,44.75
CNN/USA Today/GallupCNN/USA Today/Gallup,1/29 - 2/1,50,44
RasmussenRasmussen,1/29 - 1/31,48.5,43
QuinnipiacQuinnipiac,1/28 - 1/31,51,43
